리뷰	플레이타임	유용한 평가	재밌는 평가	구매게임 수	작성 년도	작성 월	label
짱구 엄마가 왜 그리 잡초를 싫어 했는지 체험 하게 해줍니다.공식 한글화,멀티가 시급하다. 제발 부탁드림니다.!!!!!	64.1	21	4	142	2017	2	1
이 게임으로 힐링하려고 왔다가 힐링은커녕 강제 노동을 당하는 게임이다.그래픽이 픽셀이라 호불호가 갈릴 수 있는데상관이 없다면 해보면 좋은 게임이다.	73.6	24	6	299	2020	11	1
아싸라 멀티 안해봤는데 재밌을듯하지만 난 혼자가 조..ㅎ아	9.1	17	8	621	2020	7	1
좋다...	51.7	14	1	21	2019	12	1
어른들이 결혼은 미친짓이다 할때 잘 들었어야됨그냥 문어다리 걸치는게 더 재밌는것같음	133.0	19	36	50	2018	6	1
플레이 시간이 적지만 만족감을 주는 게임이네요. 가법게 즐기기에도 적당한 것 같습니다.	513.2	23	47	8	2020	11	1
중요한 시험이나 일정 있는 사람은 이거 하지 마요졸업 시험 준비하다 개망함 정신 차려보니 3달을 허비했음시험 끝난 대학생이나 수능 끝난 고삼이 하는걸 추천	1175.9	15	0	6	2020	9	1
경영 게임을 좋아한다면 당신의 취향일 가능성 100%저는 아이러브카페 처돌이었고 이런 게임을 아주 좋아합니다처음에는 바닐라로 하시다가 모드 이것 저것을 사용하면서 플레이 하시는 것을 추천거의 200시간 했는데 아직도 안질리네요모바일밸리까지 사면 인생저당 잡힐 것 같아서 피시듀밸리만 하고 있습니다	573.7	19	3	4	2019	5	1
어ㅡ썸한 갓겜인데 한글패치좀 제발요	7.4	13	3	18	2018	9	1
진짜...스타듀밸리 한 번 사면 후회 절대 안함 ㄹㅇ...모바일 먼저 사서 했다가 컴퓨터로 넘어옴........진짜 별마을 만든사람 진짜 개감사합니다....충성충성....연애하는거 넘나 재밌구..... 이러면 안되지만 바람피는것도 재밌고...인생 갈아넣을 자신이 있습니다. 진짜로요농사도 현실을 힘들지만 여기선 돈 벌어서 쏠쏠하니 좋고낚시도 현실을 무한 기다림이지만 여기선 돈 벌어서 쏠쏠하니 좋고..광산도 현실은 갈 일 없지만 여기선 신기하고사람들은 처음엔 싸가지 없지만(?) 선물공세만 많이 하면 너무 귀여워지고/...암튼 그래요...네.....	52.2	15	9	9	2020	4	1
공략 안 보고 하고싶은 대로 하는 게 오래 더 재밌게 플레이할 수 있는 방법인듯하루 밤마다 세이브 되니까 아 이것만 하고 꺼야지 아 하루만 더 하고 하루만 더하고 하다가 밤 새기 딱 좋은 게임이젠 한글 패치만 나오면 좋겠는데..	273.9	19	1	8	2018	10	1
정말 매우매우매우 좋아하는 최애 게임입니다.한글화 해준다면 더 바랄게 없겠지만요 ; w;)	295.9	14	2	83	2018	8	1
Product received for free 외국인-화목한 가정 꾸밀려함 한국인-어떻게 하면 돈을 많이벌지 부터 생각.	153.0	15	10	34	2020	8	1
헤일리 사랑해 씨발!	61.9	15	5	71	2019	6	1
외국인에게는 이 게임이 농촌생활에서 얻을 수 있는 자유로운 생활, 개성 넘치는 주민들과의 소통, 2D 그래픽의 안정감이 주는 힐링이라면 한국인에게 이 게임은 도전과제 달성, 번들 완성, 호감도작, 일한만큼 돈이 들어오는 정직함이 주는 힐링이다.멀티도 되고 모드 적용도 되고 한국어도 지원해주는 갓겜인데 아직도 안하는 사람 없지?	108.9	18	8	72	2021	5	1
죽어서도 하고싶어요....	136.8	20	20	160	2019	3	1
ㅎㅎㅎ 재밌다 힐링 되네솔직히 농사가 제일 하기귀찮아	616.8	13	0	178	2021	3	1
스듀하면 현생을 버릴수있다.	144.8	15	3	21	2021	4	1
"롤 랭크전 , 오버워치 같은 겜하던 나로썬 ..이겜을 처음접했을때 2시간 하다가 너무 고리타분하고 노잼이여서 껐던게임 .. 문득 여름 특별할인게임에서 봤는데 라이브러리 등록게임으로 있어서 "" 어 ? 내가 언제 이걸샀지 ?"" 하는 맘으로 다시킨 그게임거진 1년을 묵혀놨다가 다시 시작했는데 벌써 48시간이 갈려서 들어가 버렸다.. 혼자서 힐링하면서 느긋하게 귀농겜하는 갓갓듀 갓리 :D 씹닥추"	79.1	23	0	132	2018	7	1
귀농의, 귀농에 의한, 귀농을 위한 게임두덕리 오프라인출근에 시달리면서 월급쟁이로써의 인생에 회의감을 느끼던 주인공이급식..아니 더 어린시절에 할아버지에게 힘들때 열어보라는 편지를 열어보자그가 살았던 농장에서 새로운 인생을 개척해보라는 유언(?)을 읽게되어삭막한 도시에서 벗어나 나만의 집과 농장을 만들고 살아가는 게임이다.고전적인 픽셀아트와 도시에서는 느낄 수없는 시골의 맛에 빠져들다보면편안하게 진행하다보면 나도모르게 편안하게 게임과 동화되어버리고 만다.여러가지로 동물의숲, 하베스트문과 비슷한 점이 많았다.한글패치도 지원되고 어렵지않은 진행에 자유도또한 장난아니게 큰데다가농사나 채집등의 노동만이 있는게아닌 사냥과 모험, 연애까지 어우러진 인생온라인이다.진짜그런게 열심히 일만하지않고 거지처럼 줏어먹고 살아도 살 수 있으며도박같이 모험을 수반한 위험적인 삶을 살아도 살 수있다.이걸 게임,그래픽,사운드 전부 개발자 혼자서 만들었다는게 정말 신기할 정도이다.얼마전에는 스팀에서만 100만카피이상 판매되었다고하니 성공은 둘째치고 이미 그 인기를 판매량이 증명해 주고 있는 격인데 그에맞게 정말 재밌는게 또 대단한 점이다.농사가 뭐가 재밌어..하는 사람들도 정신차리면 시간이 훌쩍 지나는 게임이니심심하거나 좀 색다른 게임에 빠지고싶다면 주저하지말고 구매할 것.여담으로 어렸을 적 몰래몰래 모은돈으로 비밀리에 구매한 동물의숲을 침대밑에 숨어서 하던때의 시절이 떠오르는느낌이 많이 들었는데 그 서글픈 시절과 비교해 이젠 눈치 볼필요없이 주구장창 하다보니 출근시간도 까먹고 게임을 하게 되더라.게임때문에 연가를 쓰고싶어진건 처음이었다.	61.7	37	38	1108	2016	4	1
제 한달을 앗아갔습니다 앞으로도 빼앗길 예정입니다	113.2	17	9	24	2020	11	1
진심 힐링게임 지겨워서 게임을 꺼도, 그리워서 다시 하게 되는 게임	44.9	13	1	32	2019	11	1
인생 갈아넣기 좋은 게임	240.4	14	5	9	2021	5	1
키면 끌 수가 없어서 처음부터 안 킵니다.	204.3	17	12	39	2019	2	1
처음 깔았을 때 잠깐 몇분 한다는게 재밌어서 9시간 동안 안움직이고 함	404.8	19	13	3	2018	4	1
"400시간찍고 500시간, 1000시간도 찍으러 가야지 펠리컨 마을로~!이게임은 겉보기로 봤을때는 진짜 1도 재미없어 보였었거든요 근데 친구가 하도 사보라고 해서 샀는데 방대한 컨텐츠는 물론이고 마을축제, 호감도에 따른 많은 이벤트들이 저를 언제나 설레게 하였습니다. 그 후 스듀는 제 인생겜이 되었다는 거죠. 장점 1. 방대한 콘텐츠이 게임은 진짜로 다양한 콘텐츠를 담고 있습니다. 무엇을 만들때에 해야되는 것에대한 연결이 참 잘되어 있는 것 같습니다.2. 찐 힐링게임이다.다른 힐링게임들을 보면 진짜 힐링이 아니라 힐링이라는 이름의 탈만 쓰고 있는 경우가 많거든요. 이 게임은 그런 게임들과는 차원이 아예 다릅니다.여름에 이게임 하면서 스무디 한잔 하면 그것이 하루의 행복을 맥스로 채워줍니다. 진짜 이렇게 힐링게임을 잘 만들기가 굉장히 힘들건데도 이렇게 만들었다는건 게이머인 저에겐 정말 고마운 일입니다.3. 픽셀그래픽 개좋아 제가 픽셀 그래픽을 좋아합니당^오^4.무한한 가능성 이런게임류는 금방 질리죠. 그런데도 스타듀밸리가 유명한 이유는 사용자가 알아서 잘 놀기 때문입니다.모드라는것을 사용하는데요.이런 ""모드"" 들은 게임에 없던 컨텐츠를 추가하거나, 디자인을 바꾸거나 하여 질리지않게 해줍니다.이것이 바로 스타듀밸리가 고인물의 성지라고 불리는 이유죠지금까지 스린이의 스타듀밸리 리뷰였습니다 감사해요~!"	532.3	16	0	30	2019	5	1
힐링 게임이라는데 저는 할 일이 너무 많아서 힘들던데요;;;아들하고 같이 마을회관 재건하는데에 너무 많은 힘을 썼습니다.	140.3	15	4	1330	2020	3	1
한번시작하면 생각이상으로 신경이쓰이고관심이 쏠리는게임. 마성의게임같다. 농부의 피같은 노력에 비해 돈은 개똥 매달 계절이바뀌면 바뀔때마다 다 시들어버리는데 그걸보는 농부의 모습은 멘탈이 나갈거같다.	62.8	14	5	153	2017	11	1
너무 재미있게 했어요..ㅎㅎㅎ지친 하루에 활력소가 되어줬던 게임..^^	208.9	11	0	31	2021	2	1
리텍하면 갓겜 삶이 행복해집니다	65.0	15	0	6	2020	8	1
최고의 무한 컨텐츠.	307.2	16	4	51	2017	6	1
농사는 때려치고 조자를 믿으십시오조자가 미래입니다!조자가 곧 힘이고 조자가 곧 나라입니다조자를 믿으십시오!	429.5	15	52	47	2019	10	1
닌텐도 동물의 숲도 해봤지만 역시 스타듀밸리가 더 재밌었다동물의 숲보단...성장하는 맛도 있고 npc와의 결혼도 좋고 빡세게 노동하여 돈 버는 맛도 좋다	168.1	15	0	71	2021	1	1
^^7	3256.5	15	4	213	2020	5	1
동물잔뜩기르는데 고기를 못먹어서 힘이안남	38.7	11	15	266	2019	9	1
잊지못할 추억을 만들어준 게임	16.9	14	0	59	2019	7	1
정겨운 노래속에 감춰진 물가 폭탄의 시골마을	147.2	13	6	159	2019	7	1
광야(曠野) 이육사 / 독립운동가, 시인까마득한 날에하늘이 처음 열리고어디 닭 우는 소리 들렸으랴.​모든 산맥들이바다를 연모(戀慕) 해 휘달릴 때도차마 이곳을 범하진 못하였으리라.​끊임없는 광음(光陰)을 부지런한 계절이 피어선 지고큰 강물이 비로소 길을 열었다.​지금 눈 내리고매화 향기 홀로 아득하니내 여기 가난한 노래의 씨를 뿌려라.​다시 천고(千古)의 뒤에백마(白馬) 타고 오는 초인(超人)이 있어이 광야(曠野)에서 목놓아 부르게 하리라.돌아가신 할아버지의 유산, 사유지를 물려받아 고달픈 인생에 치이던 주인공이 이도향촌하여 눈물겨운 농사생활을 시작하는 스토리. 아무것도 없는 허허벌판에서 땅부터 일구며 천천히 시작하는 농경생활이 그리 싫지만은 않았다. 어느새 늘어만 가는 농장들과 밭, 창고는 채워져만 가는데 왠지 모를 공허함이 생긴다. 그때부터 마을사람들과의 엉망진창 사랑이야기. 성별을 불문하고 외로웠던 주인공은 사랑의 갈망을 멈출 수 없게된다. 사랑의 결실인 아이들은 늘어만가고, 이혼은 기본이오 아이들은 비둘기가 되리라. 끊임없는 이야기속에 어느새 나는 게임속에 완전히 녹아들었다. 광산에선 광부요 바다에선 낚시꾼이라, 농장에선 농부요 카지노에선 짝귀니, 어찌 이촌향도를 하겠는가. 마지막으로 정극인의 상춘곡의 일부를 인용하며, 그리고 콘텐츠가 많이있다는 포인트를 어필하며 평가를 마치겠다.속세에 묻혀 사는 분들이여, 이 나의 생활이 어떠한가.옛사람들의 운치 있는 생활을 내가 따를까 못 따를까?천지간 남자로 태어나서 나만한 사람이 많건마는왜 그들은 자연에 묻혀 사는 지극한 즐거움을 모르는 것인가?몇 칸쯤 되는 초가집을 맑은 시냇물 앞에 지어 놓고,소나무와 대나무가 우거진 속에 자연의 주인이 되었구나.	43.9	18	3	77	2021	2	1
원래 게임을 돈주고 산다는것에 거부감이 있었는데 막상 스타듀밸리를 세일기간에 구매하고 해보니 벌써 100시간 넘게 플레이했네요. 순수한 마음으로 힐링겸 했지만 점점 마을의 돈줄로 변한 주인공을 볼때마다 안타깝지만 리텍이나 모드를 이용해 그 부담을 덜어주며 재밌게 즐기고있습니다 . 둘째로 멀티가 곧 나온다니 너무 기대되고 다른분들도 구매해서 같이 즐겼으면 좋겠네요	139.8	14	1	7	2018	2	1
진짜 미친 게임임... 스타듀밸리 처음 샀을 때가 아마 작년 12월? 1월? 여하튼 겨울 쯤이었던 거로 기억하는데 개학 전날 12시까지 이 게임 하다 잠 그 때 내 하루의 시작은 스타듀밸리였다... 이말이여... 3번째 캐릭터 봄까지 플레이하면 조금 질릴 수도 있음 하지만 시간이 좀 지나고 나서 새로운 캐릭터 만들어서 플레이하면 처음하던 그 느낌까지는 아니어도 얼핏 비슷한 기분 느끼기 가능 290시간 플레이 하다보니까 웬만한 컨텐츠 다 즐겨봐서 재미가 슬슬 떨어졌음 그래서 지금은 대확장 모드 깔아서 하는 중 난 초반에 모드 하나 아예 안 깔고 했었음 초반에 모드 이것저것 다 깔면 나중 가서 재미 떨어지니까 최대한 많은 컨텐츠 즐겨보고 이제 안되겠다 싶을 때 모드 설치하길 16000원이 절대 아깝지 않은 게임임 가성비 갑 힐링 (사실은 돈만 오지게 벌지만 나한테는 그게 힐링임) 하기에도 엄청 적절함	359.9	9	1	1	2020	10	1
내가 이거 하고 다른 재미있는 게임 찾아봤다우선 테라리아 다운 받았는데 조작키가 별로여서 지웠고다른 게임들 리뷰를 봐도 스타듀벨리만의 그 뭐랄까 밝은 rpg느낌을 따라가지를 못하더라내가 RPG를 좋아하는데 분위기가 무거워서 별로다다른 게임의 조작키가 익숙하지가 않다가벼운 분위기를 좋아한다면 무조건 사라 진짜 후회 안한다	136.3	17	3	7	2021	2	1
다른 타 게임에 비해 컨텐츠가 어마어마 하게 많으며 하나가 질리면 다른 하나를 하면 되며, 숨겨진 요소가 많아 찾는 재미가 쏠쏠 하다.	85.9	8	0	169	2018	5	1
농장에 와서 농장물을 심고 뽑고 심고 뽑고 마을주민들과 친해지고 박물관도 채우고 그렇게 살다보면 힐링이 됩니다.	162.8	10	2	912	2017	11	1
흑흑 너무 재밌어	76.0	13	1	370	2017	12	1
자본주의의 좋은점을 알아버리는 게임....역시 돈이 최고야...ㅎ	91.9	12	3	86	2018	12	1
VRChat에서 받은 상처를 치료하러 귀농왔습니다	35.1	21	18	294	2018	9	1
시간 순삭	155.1	11	3	49	2019	12	1
만약 고민한다면 사는게 좋을것이다	19.6	17	4	38	2018	9	1
가끔 지겨워지기도 하는데 그때는 지우지않고 좀 쉬거나다른 사람들 영상보거나 모드를 찾아보고나서 플레이 해보면 괜찮아요.저만 그런진 모르겠지만..ㅎ정말 힐링되는 느낌도 받았고이 게임에서 축제도 있고 , 브금도 너무 좋고연애도 할수있다는게 너무 좋네요.게임 추천합니다	205.7	15	8	21	2018	9	1
현재 나오는 게임이 변함없이 똑같다고 생각합니다현재 코로나로 인해 마음도 몸도 피곤함 이때 스타듀 밸리를 시작함으로써 행복한 시간을 보내보시겠어요?도트이미지로 귀여움은 물론이고 평화로운 배경음에 마음이 편한해지는 기분이 들고마을 주민들과 대화를 하거나 작물을 심거나 바닷가로 나가 낚시를해 물고기를 낚는다거나 동굴 탐사 등 여러 재미난 컨텐츠들이 가득 한 이게임사실 이게임을 알고는 있었지만 미루고 미루다가 구매하고 플레이해보니 아직 게임에 대한 지식이 부족한지 어리둥절 하기는 하지만 게임에 대한 지식이 생기면 더 게임에대한 애정이 생길지도 모르겠네요현재 제 밭 에는 감자들이 심어져있으며 허수아비 아저씨가 센터에 자리잡고있어요돈이 많이 부족해서 밭만큼 심지는 못했지만 낚시를 하면서 열심히 골드를 벌고있고..후에는 목장을 지어서 닭을 키워보고싶네요 할인할때 구매하셔도 좋지만 정말 여유가 되신다면지금바로 구매하셔서 힐링해보세요~	5.7	11	1	32	2020	8	1
갓갓갓 귀농게임 초반에 손도 많이가고 할것도 많고 하지만 언젠가 나도 결혼을 꿈꾸며 ㅠㅠㅠ 힘내 팟수들 우리도 결혼 할수있다	94.9	11	5	49	2016	4	1
페니 사랑해용~	189.9	17	1	123	2017	5	1
야야 봄감자가 맛있단다	403.6	8	19	7	2019	2	1
아... 9시안넘었네아... 비료안뿌렸네아... 왜 재밌는지 모르겠다	76.5	13	3	6	2021	9	1
힐링게임의 제왕 더이상 할말 없음 그 자체 ㄷㄷ 그냥 힐링게임 찾으시는분들 하시면 좋음 일 빡세게 하고싶으신 분들에게도 추천 노가다 좋아하면 플탐 순삭사실상 농장겜이 아니라 연애 시뮬레이터임 ㅋㅋㅋㅋㅋ사랑과 전쟁 찍고싶으신 분들에게도 추천 합니다 안에 사람들이 있잖아!!!	105.2	13	4	32	2021	6	1
한국인이면 제발 날개없는 천사 에밀리랑 결혼합시다지금 결혼하면 앵무새도 공짜	187.9	15	24	155	2020	6	1
존잼..b 해도해도 끝이 없는 게임! 추천추천!!2018년 멀티플레이도 기대합니다!	69.9	11	1	313	2017	8	1
처음에는 힐링 목적으로 햇다 처음에는 농사를 적절히하면서 마을사람들과 친하게 지내고 여러가지 농작물을심으며연애를 하고 많은친구를 가지게 되엇다 하지만 점점 돈이 필요하게되고 비싼 작물만 심게되면서돈에 의존하니 자연스럽게 마을사람들과 멀어지게 되고 축제에서도 아무도 날 아무도 아는체 해주지않앗다그렇다 결론은 머다? 돈이 최고다 돈의소중함을 알려주는 갓-------------겜다들 내꼴처럼 안됫으면 좋겟다	139.5	13	17	101	2018	2	1
절대..사지 마세요....그래픽도 꾸지고... 먼가 쌍팔년도 게임 같고 한데..한번 시작하면 손을 뗄수가 없습니다!!!!!심지어 브금조차 좋아여!!!!처음엔 거슬리던 그래픽도 도트가 사랑스러워 져가는 누의 착시 현상까지 일으킵니다!절대.. 사지 마세요....처음엔 무얼 할지 난감할지도 몰라여..ㅇㅅㅇ거기다가 한글도 없죠..뭐라도 시작한 순간!!!당신의 인생은 나락으로 떨어질겁니다!!! 영어를 몰라도 대충 눈치로 때려 맞춰 지기까지 하죠!!!!거기에 또 버그는 왜 그리 판치는지= ㅁ=현실 시간을 잊게 만드는 버그가 항상 존재합니다..= ㅁ=버그 픽스도 없을거 같네요!!!!!절대.. 사지 마세요..당신이 하루종일 이 게임만 생각하게 되는게 싫고...가족들과도 대화가 단절되며...이 게임이 이렇게 싼 가격이라늬= ㅁ=하며 경제관념이 혼탁해지고도트가 아름다워 보이는 시각장애까지 겪고 싶지 않다면..이 게임 절대.....사지 마세요	131.8	62	116	246	2016	3	1
노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!! 노동!!	81.4	16	37	74	2020	1	1
진짜 모든 부분이 재미있습니다.농사, 낚시, 광산, 주민들과 친목, 연애 등 재미없는 부분이 없어요..한글화가 안된 점이 유일한 단점입니다ㅜ	182.3	20	1	54	2018	12	1
편안한 마음으로 나 만의 농장을 예쁘게 가꾸겠노라 하며 시작했건만....농작물 효율이 좋지 않으면 심히 불편하다..울타리 같은것도 작물 재배할 공감만 차지하고결국에는 효율 좋은 작물만 잔뜩 심어놓는 자신을 보게된다.농사는 업무일 뿐이고 유사미연시로 힐링한 듯 합니다.저 같은 유형의 유저도 힐링이 되긴 됩니다.	343.1	13	1	376	2020	12	1
16000원 값이 전혀 아깝지 않은 게임 진짜 돈 더 주고도 플레이 할 수 있을 것만큼 재밌다	213.7	11	1	24	2019	6	1
스타후르츠 맛없다고 쓰레기통에 버렷다는걸 꼭 내 앞에서 말해야되냐? 이 시발	151.2	16	12	75	2018	2	1
귀농하고싶은생각들게함	163.7	9	1	55	2019	11	1
그냥 생각없이 플레이하다보니 낮에서 밤으로 바뀜	100.2	16	1	92	2020	4	1
내가 농장을 키우는것인가, 농장이 나를 키우는것인가	127.0	8	15	44	2019	9	1
Product received for free ♥♥♥♥♥♥♥♥♥ Abigail ♥♥♥♥♥♥♥♥♥♥	126.5	7	3	29	2019	7	1
자본주의의 노예가 되어라..	84.7	10	4	116	2019	6	1
처음에 그래픽보고 구매가 망설여졌는데갓게임이라는 이야기를 듣고 구매해서 플레이 해보았습니다.아니나 다를까 이 게임은 인생게임이 되었습니다.3년차 엔딩까지 정말 단기간 엔딩을 보았습니다.돈스타브나 심즈4같이 생존이나 파밍류 게임을 즐기시는 분들이라면 강추.	8.6	8	1	217	2016	11	1
비오는 날이 왜 좋은지 깨닭았습니다.	13.0	31	10	230	2017	3	1
우수한 게임성, 지속적인 업데이트.모든게 잘 이루어진 게임.갓-겜.	21.1	17	2	6136	2018	11	1
갓-겜..티비로 항상 날씨 확인 팁확인 요리채널 확인(재방송포함)금 일에오는 남쪽 마차 꾸준히 확인(빨간 양배추?가 나올경우 1년차에 번들 다깰수잇음)심심할 때는 40~79에서나오는 먼지 정령? 500마리잡자(몬스터 드랍률 올리는 반지줌)물건들 다팔지말고 몇개씩은 모아둡시다(번들용)생일은 꼭 챙겨주자 호감도를 8배 올려준다 (물론 싫어하는거줫을때도 8배....)공략 (복잡할수있음)봄에는 설탕당근 금별5개만들 만큼 이랑 콩하나 컬리플라워 몇개 // 번들에 쓰이기때문나머지 감자심고 남은에너지로 낚시하고 // 감자는 돈벌이용 해변 오른쪽 다리 나무300개로 빨리 고치고 보이는것 주워서 다팔고 // 돈벌이 쏠쏠골파찾아서 먹으면서 에너지 채우고 // 팔면 8원임 손해바닥에 떨어져있는거(리크 수선화 등등) 다줍고 // 번들비오는날은 아오지탄광가서 5층단위로 탐험하고 // 5층마다 엘베가있음샐먼?베리 나오는시기쯤에는 보이는것다따놓으면서 // 에너지 딸릴때마다 먹어주고 // 효율 좋음보일러룸 번들만들고 // 뚜벅이인생 반탈출봄끝나기전에 3x3스프링쿨러 최대한 만들어놓음 여름에는 허브16개 멜론과 옥수수는 금별 5개 모을만큼심고 // 멜론 옥수수 금별 5개이상 모으세요토마토 고추 양귀비 조금 심고 // 최소하나씩은 보유해야함나머지는 다 블루베리도 도배해놓으면서 // 이것도 하나는 보유해야함남는에너지로 아오지탄광이나 번들에쓰이는 물고기낚고 // 번들용 물고기바닥에 떨어져있는거(포도,스윗트 피, 스파이시 베리)다줍고 // 번들용허브나오는 시점부터 에너지는 거의 바닥안남라이트링로드 만들어주면서 배터리 모으고 // 이리듐 스프링쿨러 재료오크나무에 수액만드는거 꾸준히 설치하면서(다른나무들도 한두개씩설치) // 번들과 keg 만들기용블루베리 팔면고 금고번들 조금식 풀어주고 // 스컬 캐러벤 준비닭이랑 소 목장준비하고 석류나무랑 사과나무설치 // 석류랑 사과3개 번들에쓰이고 동물들이 생산하는 라지는 꼭 모아두자장비 업글 꾸준히하시고 시크릿 우드에서 하드우드랑 고사리 모으고 // 고사리 번들에쓰임말 건설하시고 집업글하세요 // 뚜벅이 인생탈출스컬캐러벤 갈때는 허브랑 폭탄이랑 돌(계단만드는용) 들고가는걸추천 // 피는 60이상으로 유지하자 이리듐 최대한모으고 그이리듐으로 스프링쿨러 만듬 금,일 에오는 마차에서 1000원짜리 씨앗하나사고 가을준비 // 씨앗에서 나온 스윗잼 베리 를 시크릿우드 석상에게 선물-스타드랍가을되면 호박 금별5개만들정도로심고 // 마찬가지로 번들가지,마 조금심고 나머지 크랜베리도배(밀도20개정도 심는게 좋음) // 모두 번들물고기 번들에쓰이는거 계속 낚시하시고 // 또번들바닥에 보이는거(헤이즐럿 블랙베리 등등) 다줍고 // 번들이야크랜베리 계속 팔면서 목장 업글 장비업글하고 // 돈벌이가을 축제에서 스타토큰으로 스타드랍 구매 // 초록색 룰렛에 계속 걸면 금방모인다..스컬 케러벤 꾸준히 돌면서 이리듐모으고닭장은 오리까지 풀어도됨(토끼발은 스컬케러밴에서 드람함 0.8퍼) // 토끼발이 은근히 드랍잘되는듯?목장 돼지먼저 빨리 풀고 트러플구함(돼지가 겨울에는 트러플 생산 못함)겨울에는 번들에쓰이는 물고기 낚음(피쉬탱크 번들완성)지렁이 보일때마다 다 파면서 (크래프트 룸 번들완성)모아놓은 재료들 번들에 다 때려박으면 붉은 양상추 빼고 다완성할수있다마차에서 붉은 양상추 나오면 1년차에 커뮤니티 센터 완공필자는 이렇게해서 1년차 여름 1일에 소지금 2만8천원,가을 1일 소지금 20만원,겨울1일소지금 76만원을 모앗다이렇게 힘들게하면 2년차에 할게없다... 애들 선물이나 주러다닌다.... 2016/9/23 업데이트좀 해줘!!!!	261.6	10	3	117	2016	5	1
이미 결혼했는데 다른 결혼 가능한 캐릭터 호감도 10 달성하면 뜨는 이벤트에서 차마.. 말을 잇지..못했습니다..어흑	461.1	9	8	15	2019	9	1
밤새면서 할만큼 너무 재미있네요참농부의 삶을 체험할수있어서 정말 좋아요	36.6	9	1	239	2018	1	1
시간을 보내는데는 최고중의 최고!!!!정말 여러가지를 할 수 있으며 꽤 오랫동안 즐길 수 있다는게 장점....다만 ..... 한 40-50시간 이후부터는 조금 지루하기도 .....	73.3	7	0	3889	2016	11	1
게임하다가ㄹㅇ치질걸림	286.6	12	21	150	2016	4	1
헤일리 입 딱대 헤바라기 들어간다 오고곡	287.4	11	5	45	2021	7	1
스듀 플레이타임 봐라. 설명 끝남	238.5	7	5	45	2019	8	1
몇 번을 해도 재미가 있는 것이다모드 없이 해도 재미가 있는데 모드를 깔면 또 그 재미가 있다아조 자본주의적인 마을인간들에게 신물이 날 것 같다가도내 아래로 조아리게 만들겠다는 도전정신에 모든 인간의 하트를 전부 꽉 채워 버리는 것이다한가지 팁을 주자면 첫 결혼은 약간 별로인 애랑 하십시요이것저것 남들 하는 이혼 나도 하고 싶은데 첫 배우자가 너모 사랑스럽다면 이혼할 수 없어 ..첫결혼 ㅅ과 ㅅㅇ 추천합니다	222.7	8	16	168	2019	8	1
스듀.. 왜 안 해요..? 진짜 너무너무너무너무 갓겜인데..ㅠㅠㅠ리텍만 조금하면 진짜 차원이 다른게임됩니다.. ༼ つ ◕_◕ ༽つ이것도 스마피 연동할 줄 몰라서 따로 하느라 300시간인거예요ㅠㅠ...진짜 시간 가는 줄 모르는 힐링게임이에요 꼭 하세요 진짜 너무 추천 ..	428.6	15	1	109	2021	6	1
노동과 연애가 어우러지는 게임입니다개인적으로는 게임브금이나 시스템이 좋네요16000원이 아깝지 않네요	356.1	11	3	126	2017	11	1
낚시빼고 갓겜	116.4	12	4	23	2019	6	1
힐링을 가장한 불륜게임... 근데 또 힐링은 되는 신기한 게임... 본겜으로도 재밌지만 꾸준히 업뎃중이고 한국 스듀 공카도 넘나리 활발해서 즐길 것이 수만가지 남아있는 오묘한 게임... 할인 없이 만육천원 내도 아깝지 않은 게임...	129.7	18	8	8	2020	11	1
공략보면 힐링겜이 아니게 됩니다.그래도 보고 할거잖아요? 그냥 첨부터 보고 하세요.	53.8	11	8	74	2019	9	1
개꿀잼 시간 순삭겜	39.8	9	1	8	2019	12	1
진심 갓겜.. 나의 237시간을 잡아먹었어요 ^^ 와우그냥 고민말고 할인 기다리지말고 사세요	420.0	13	1	2	2018	11	1
줫봡 게임인줄 알았더니 시작하고 4시간이 지나있었습니다. 저같은 백수새끼라면 강추하고요, 바쁘시면 나중에 안바쁠때 주말에 하세요. 근데 혼자하면 졸릴것같네요. 설마 친구없누?	5.3	27	22	25	2019	12	1
다좋은데 이양반들아 이제슬슬 업뎃추가할때도된거잖아 몇달째여 멀티추가못하는게	163.7	10	0	69	2017	7	1
